"player_id","player_name"
15590,"Ole Gunnar Solskjær"
15595,"Steffen Iversen"
15637,"Sulzeer Jeremiah ''Sol' Campbell"
15638,"Jamie Redknapp"
15654,"Martin Keown"
15659,"Emile Heskey"
15660,"Phil Neville"
15665,"Michael Owen"
15666,"Paul Scholes"
15754,"Fredrik Ljungberg"
15761,"Olof Mellberg"
15880,"Emiliano Ariel Rigoni"
16003,"Fernando Francisco Reges"
16024,"Roger Claver Assalé Djapone"
16209,"Raúl de Tomás Gómez"
16210,"Luca Sangalli Fuentes"
16212,"Óscar Rodríguez Arnaiz"
16249,"Yangel Clemente Herrera Ravelo"
16298,"Denis Vavro"
16309,"Joel Robles Blázquez"
16335,"Samuel Chimerenka Chukwueze"
16489,"Nemanja Gudelj"
16555,"Joseph Aidoo"
16890,"John O''Shea"
17027,"Sergio Guardiola Navarro"
17054,"Emiliano Daniel Velázquez Maldonado"
17276,"Seydou Doumbia"
17303,"Nikola Vukčević"
17304,"Héctor Junior Firpo Adames"
17520,"Federico Barba"
17620,"Marc Cucurella Saseta"
17727,"Ioan Viorel Ganea"
17793,"Boudewijn Zenden"
17804,"David Costas Cordal"
17818,"Rodrigo Tarín Higón"
18105,"Adrian Mutu"
18163,"Moses Daddy-Ajala Simon"
18164,"Antonio Jesús Regal Angulo"
18395,"Vinícius José Paixão de Oliveira Júnior"
18620,"Sergio Reguilón Rodríguez"
18721,"Robert Ibáñez Castro"
18783,"Omenuke Mfulu"
19109,"Steven Gerrard"
19312,"Robert Pirès"
19497,"Nigel Martyn"
19597,"Marcos Javier Acuña"
19636,"Paul Bosvelt"
19668,"Augusto Matías Fernández"
19677,"Karim Benzema"
19729,"Ruud van Nistelrooy"
19735,"Milan Baroš"
19772,"Stylianos Giannakopoulos"
19857,"Marians Pahars"
20011,"Hélder Manuel Marques Postiga"
20015,"Jens Lehmann"
20019,"Thomas Hitzlsperger"
20033,"Luuk de Jong"
20055,"Marc-André ter Stegen"
20059,"Aaron Hughes"
20063,"Javier Ontiveros Parra"
20145,"Thomas Løvendahl Sørensen"
20153,"Claus Jensen"
20171,"Rio Ferdinand"
20175,"Ryan Giggs"
20180,"Marcus Allbäck"
20189,"Tobias Linderoth"
20193,"Anders Svensson"
20254,"Claude Makélélé"
20257,"William Gallas"
20281,"Mario Melchiot"
20286,"Scott Parker"
20287,"John Terry"
20302,"Gaël Clichy"
20326,"Kieron Dyer"
20327,"Darius Vassell"
20329,"David James"
20330,"Frank Lampard"
20331,"Ivica Mornar"
20341,"Mikaël Silvestre"
20402,"Boris Živković"
20444,"Damien Duff"
20446,"Shay Given"
20447,"Richard Dunne"
20488,"Ledley King"
20505,"Louis Saha"
20510,"Alexei Gennadyevich Smertin"
20542,"Álvaro Negredo Sánchez"
20549,"Jamal Julian Campbell-Ryce"
21081,"Juan Marcos Foyth"
21147,"Borja Mayoral Moya"
21225,"Javier Sánchez de Felipe"
21397,"Stole Dimitrievski"
21399,"Pablo Ínsua Blanco"
21540,"Kevin Nolan"
21881,"Sergino Dest"
22020,"Joaquín Fernández Moreno"
22029,"Kevin Vázquez Comesaña"
22107,"Thierry Rendall Correia"
22128,"Robin Aime Robert Le Normand"
22129,"Valery Fernández Estrada"
22199,"Sergio Gómez Martín"
22287,"Adrià Giner Pedrosa"
22321,"Ander Barrenetxea Muguruza"
22390,"Francisco António Machado Mota de Castro Trincão"
22418,"Bryan Gil Salvatierra"
22452,"Aihen Muñoz Capellán"
22740,"Kang-In Lee"
22819,"Bruno Soriano Llido"
22915,"Diego Lainez Leyva"
22919,"Lluís López Mármol"
23211,"Víctor Mollejo Carpintero"
23212,"Martín Merquelanz Castellanos"
23213,"Enric Gallego Puigsech"
23263,"Lisandro Magallán"
23264,"Seung-Ho Paik"
23307,"Idrissa Doumbia"
23322,"Javier Galán Gil"
23343,"Lei Wu"
23344,"Aitor Fernández Abarisketa"
23492,"Stiven Ricardo Plaza Castillo"
23522,"Emerson Aparecido Leite de Souza Junior"
23627,"João Pedro Neves Filipe"
23803,"Esteban Rodrigo Burgos"
23807,"Domingos Sousa Coutinho Meneses Duarte"
23808,"Enrique González Casín"
23811,"Alberto Perea Correoso"
23812,"Rafael Mir Vicente"
23816,"José Antonio Reyes Calderón"
23825,"Fidel Chaves de la Torre"
23934,"Rafael Jiménez Jarque"
23943,"Rubén García Santos"
23944,"Oier Sanjurjo Mate"
23945,"Iñigo Pérez Soto"
23947,"Roberto Torres Morales"
23948,"Carlos Clerc Martínez"
23949,"Unai García Lugea"
23950,"David García Zubiría"
23966,"Mickaël Malsa"
23967,"Alejandro Fernández Iglesias"
23970,"José María Martín-Bejarano Serrano"
23971,"Jairo Izquierdo González"
23973,"Salvador Sánchez Ponce"
23978,"Manuel Javier Vallejo Galván"
23981,"Álvaro Tejero Sacristán"
23986,"Aleix Febas Pérez"
24037,"Alberto Soro Álvarez"
24049,"Luis Jesús Rioja González"
24052,"Yan Brice Eteki"
24053,"Álvaro Giménez Candela"
24055,"Juan Carlos Real Ruiz"
24067,"Abdón Prats Bastidas"
24072,"Salvador Sevilla López"
24078,"Javier Muñoz Jiménez"
24079,"Júnior Wakalibille Lago"
24083,"Manuel Reina Rodríguez"
24084,"Martin Valjent"
24085,"Pervis Josué Estupiñán Tenorio"
24086,"Antonio José Raillo Arenas"
24087,"Iddrisu Baba Mohammed"
24088,"Daniel José Rodríguez Vázquez"
24089,"Joan Sastre Vanrell"
24093,"Luis Javier Suárez Charris"
24126,"José Antonio Rodríguez Díaz"
24127,"Ramon Olamilekan Azeez"
24133,"Víctor David Díaz Miguel"
24134,"Germán Sánchez Barahona"
24136,"Federico Vico Villegas"
24138,"Joaquín José Marín Ruiz"
24140,"Rui Tiago Dantas da Silva"
24141,"Federico San Emeterio Díaz"
24142,"José Antonio Martínez Gil"
24143,"Álvaro Vadillo Cifuentes"
24144,"Ángel Montoro Sánchez"
24165,"Edgar Badía Guardiola"
24166,"Juan Francisco Martínez Modesto"
24169,"Gonzalo Cacicedo Verdú"
24172,"Álvaro Juan Cruz Armada"
24211,"Sergio Herrera Pirón"
24212,"Aridane Hernández Umpiérrez"
24236,"Ander Guevara Lajo"
24251,"José Antonio Morente Oliva"
24267,"Uroš Račić"
24269,"Marc Pedraza Sarto"
24272,"Luis Milla Manzanares"
24273,"Jorge Sáenz de Miera Colmeiro"
24315,"Enrique Barja Afonso"
24322,"Isaac Carcelén Valencia"
24517,"José Raúl Gutiérrez Parejo"
24576,"Francisco Gámez López"
24593,"Marcos Mauro López Gutiérrez"
24613,"Alejandro Pozo Pozo"
24616,"Luis Alfonso Espino García"
24681,"Daniel Escriche Romero"
24712,"Jon Ander Garrido Moracia"
24729,"Xavier Quintillà Guasch"
24730,"Lucas René Olaza Catrofe"
24758,"Michael Tarnat"
24763,"Ronny Johnsen"
24765,"Denis Irwin"
24766,"Dwight Yorke"
24767,"Andy Cole"
24777,"Waldo Rubio Martín"
24794,"Duncan Ferguson"
24798,"Nikos Dabizas"
24799,"Gary Speed"
24805,"Roy Keane"
24840,"Justin Hoyte"
24841,"Ricard Puig Martí"
24921,"Martín Zubimendi Ibáñez"
24949,"Álex Collado Gutiérrez"
24971,"Nwankwo Christian Kanu"
24972,"Ray Parlour"
24976,"Abel Ruiz Ortega"
25005,"Alejandro Blanco Sánchez"
25006,"Carles Pérez Sayol"
25104,"Rodrygo Silva de Goes"
25134,"Deyverson Brum Silva Acosta"
25598,"Álvaro Fernández Llorente"
25702,"Carlos Neva Tey"
25704,"Aarón Escandell Banacloche"
25960,"Frédéric Oumar Kanouté"
26009,"Roberto Soldado Rillo"
26010,"Hugo Miguel Ferreira Gomes Viana"
26014,"Eduardo César Daude Gaspar"
26149,"Stephane Dalmat"
26194,"Pascal Cygan"
26199,"Diego Forlán Corazo"
26387,"Edgar Antonio Méndez Ortega"
26404,"Guido Rodríguez"
26532,"Renan Augusto Lodi dos Santos"
26649,"Jermaine Pennant"
27342,"Josep Señé Escudero"
28658,"Augusto Jorge Mateo Solari"
29198,"Jeremías Ledesma"
29310,"Shon Zalman Weissman"
30081,"Nehuén Pérez"
30225,"Oihan Sancet Tirapu"
30277,"Jon Moncayola Tollar"
30294,"Gabriel Matías Fernández Leites"
30370,"Jens Jønsson"
30419,"Alberto Rodríguez Baró"
30420,"Víctor Campuzano Bonilla"
30421,"Matías Ezequiel Vargas Martín"
30483,"Jaime Seoane Valenciano"
30486,"Pedro González López"
30492,"Francisco Javier Hidalgo Gómez"
30519,"Mohamed Salisu"
30593,"Daniel Gómez Alcón"
30756,"Anssumane Fati"
30760,"Borja Sainz Eguskiza"
31090,"Takefusa Kubo"
31235,"Marcos André de Sousa Mendonça"
31779,"Tomas Franco Tavares"
31885,"Pol Lozano Vizuete"
31914,"Omobolaji Habeeb Adekanye"
31931,"Christian Gabriel Oliva Giménez"
32185,"Alejandro Remiro Gargallo"
32480,"Ronald Federico Araújo da Silva"
32670,"Víctor Gómez Perea"
32673,"Jorge De Frutos Sebastián"
32953,"Asier Villalibre Molina"
33339,"Manuel Sánchez De La Peña"
34323,"Luis Miguel Sánchez Benítez"
34386,"John Arne Semundseth Riise"
34388,"Jamie Carragher"
34389,"Sami Hyypiä"
34390,"Jerzy Dudek"
34391,"Harry Kewell"
34392,"Steve Finnan"
34394,"Hernán Jorge Crespo"
34515,"Fernando Niño Rodriguez"
35000,"José Manuel Fontán Mondragón"
35287,"Sofian Chakla"
35473,"Unai Vencedor Paris"
35641,"Hugo Guillamón Sanmartín"
38402,"Bobby Zamora"
38403,"Shaka Hislop"
38404,"Paul Konchesky"
38412,"Kolo Habib Touré"
38418,"Jonathan Woodgate"
38454,"Danny Murphy"
38464,"Brad Friedel"
38465,"Claudio Reyna"
38466,"Brian McBride"
38522,"Dietmar Hamann"
38551,"Shaun Wright-Phillips"
38552,"Joey Barton"
38556,"Leslie Ferdinand"
38557,"David Batty"
38558,"Steve Watson"
38566,"Lee Clark"
38569,"Steve Howey"
38792,"Yunus Dimoara Musah"
39073,"Moriba Kourouma Kourouma"
39598,"Miguel Baeza Pérez"
39847,"Dominic Matteo"
40123,"Robert Huth"
40132,"Paul Robinson"
40215,"Jihai Sun"
40216,"Eyal Berkovic"
40217,"Trevor Sinclair"
40218,"Sylvain Distin"
40219,"Danny Tiatto"
40220,"David Sommeil"
40221,"Gilberto Aparecido da Silva"
40222,"Laureano Bisan-Etame Mayer"
40223,"Antoine Sibierski"
40225,"Andy O""Brien"
40226,"Craig Bellamy"
40227,"Laurent Robert"
40228,"Lee Bowyer"
40229,"Darren Ambrose"
40230,"Titus Malachi Bramble"
40231,"Alan Shearer"
40232,"Shola Ameobi"
40233,"Olivier Bernard"
40234,"Jermaine Jenas"
40235,"Danny Coyne"
40236,"Ian Walker"
40237,"James Scowcroft"
40238,"Lilian Nalis"
40239,"Jordan Stewart"
40240,"Paul Dickov"
40241,"Matt Heath"
40242,"Marcus Bent"
40243,"Frank Mohammed Sinclair"
40244,"Trevor Benjamin"
40245,"Paul Brooker"
40246,"Quinton Fortune Kolobea"
40252,"Massimo Maccarone"
40254,"Igor Bišćan"
40255,"Jérémie Aliadière"
40256,"Salif Alassane Diao"
40257,"El-Hadji Ousseynou Diouf"
40258,"Wayne Bridge"
40259,"Joe Cole"
40260,"Carlo Cudicini"
40261,"Gérémi Sorele N""Djitap Fotso"
40262,"Jerrel Hasselbaink"
40263,"Zoumana Camara"
40264,"Michael Bridges"
40265,"José Vitor Roque Júnior"
40266,"Seth Johnson"
40267,"Alan Smith"
40268,"René Salomon Olembé-Olembé"
40269,"Lamine Sakho"
40270,"Gary Oliver Kelly"
40271,"Neil Sullivan"
40272,"Stephen Kelly"
40273,"Goran Bunjevčević"
40274,"Kasey Keller"
40275,"Mauricio Taricco"
40276,"Gustavo Augusto Poyet Domínguez"
40277,"Simon Davies"
40278,"Michael Brown"
40279,"Anthony Gardner"
40280,"Richard Wright"
40281,"David Unsworth"
40282,"Gary Naysmith"
40283,"Nick Chadwick"
40284,"Alessandro Pistone"
40285,"Alan Stubbs"
40286,"Tomasz Radziński"
40287,"Tie Li"
40288,"Joseph Phillip Yobo"
40289,"Mark Pembridge"
40290,"Robbie Savage"
40291,"Clinton Morrison"
40292,"Maik Taylor"
40293,"Damien Johnson"
40294,"Bryan Hughes"
40295,"Stan Lazaridis"
40296,"Kenny Cunningham"
40297,"Stephen Clemence"
40298,"Jamie Clapham"
40299,"Stern John"
40300,"Matthew Upson"
40301,"Mikael Forssell"
40302,"David Dunn"
40303,"Aliou Cissé"
40304,"Lee Naylor"
40305,"Mark Kennedy"
40306,"Dean Sturridge"
40307,"Shaun Newton"
40308,"Henri Camara"
40309,"Oleg Luzhny"
40310,"Michael Oakes"
40311,"Alex Rae"
40312,"Paul Butler"
40313,"Colin Cameron"
40314,"Jody Craddock"
40315,"Mbulelo Mabizela"
40316,"Rohan Ricketts"
40317,"Dean Richards"
40318,"Stephen Carr"
40319,"Paul Jones"
40320,"Carl Cort"
40322,"Mark Schwarzer"
40323,"Joseph-Desiré Job"
40324,"George Boateng"
40325,"Ugo Ehiogu"
40326,"Danny Mills"
40327,"Szilárd Németh"
40328,"Franck Queudrue"
40329,"Dorival Guidoni Júnior"
40330,"Chris Riggott"
40331,"Oswaldo Giroldo Júnior"
40336,"Sébastien Schemmel"
40337,"Yakubu Aiyegbeni"
40338,"Nigel Quashie"
40339,"Arjan de Zeeuw"
40340,"Dejan Stefanovic"
40341,"Tim Sherwood"
40342,"Jason Roberts"
40343,"Amdy Moustapha Faye"
40352,"Barry Ferguson"
40353,"Vratislav Greško"
40354,"Lucas Neill"
40355,"Andy Todd"
40356,"Craig Short"
40357,"Brett Emerton"
40358,"Steven Reid"
40359,"Jlloyd Tafari Samuel"
40360,"Ulises Hernán de la Cruz Bernardo"
40361,"Mark Anthony Delaney"
40362,"Juan Pablo Ángel Arango"
40363,"Lee Hendrie"
40364,"Roy Carroll"
40365,"Eric Daniel Djemba-Djemba"
40366,"Wes Brown"
40368,"Ian Harte"
40369,"Steven Caldwell"
40370,"Lucas Radebe"
40371,"Michael Duberry"
40372,"Simon Johnson"
40373,"Mark Viduka"
40374,"Jason Joseph Euell"
40375,"Paolo Di Canio"
40376,"Graham Stuart"
40377,"Hermann Hreidarsson"
40378,"Dean Kiely"
40379,"Matt Holland"
40380,"Mark Fish"
40381,"Chris Perry"
40382,"Jonatan Lillebror Johansson"
40383,"Émerson Augusto Thome"
40384,"Augustine Azuka ""Jay-Jay"" Okocha"
40385,"Jussi Jääskeläinen"
40386,"Iván Campo Ramos"
40387,"Henrik Pedersen"
40388,"Kevin Cyril Davies"
40389,"Per Frandsen"
40390,"Simon Charlton"
40391,"Ricardo Wayne Gardner"
40392,"Ibrahim Ba"
40393,"Bruno N""Gotty"
40395,"Michael Gray"
40396,"Matt Jansen"
40397,"Martin Andresen"
40398,"Jonathan Douglas"
40400,"Olivier Tébily"
40401,"Ian Bennett"
40402,"Stuart Parnaby"
40403,"Malcolm Christie"
40404,"Alan Wright"
40405,"Colin Cooper"
40406,"Andrew Davies"
40407,"Steed Malbranque"
40408,"Moritz Volz"
40409,"Junichi Inamoto"
40410,"Barry Hayles"
40411,"Sylvain Legwinski"
40412,"Sean Davis"
40413,"Zat Knight"
40414,"Jérôme Bonnissel"
40415,"Andy Melville"
40416,"Luke Young"
40417,"Jonathan Fortune"
40418,"Carlton Cole Okirie"
40420,"Carlos Manuel Bocanegra"
40421,"Ian Pearce"
40422,"Alain Goma"
40423,"Martin Djetou"
40424,"Luís Boa Morte Pereira"
40425,"Collins John"
40433,"Kevin Phillips"
40434,"Paul Telfer"
40435,"Rory Delap"
40436,"Darren Kenton"
40437,"Brett Ormerod"
40438,"Antti Mikko Niemi"
40439,"David Prutton"
40440,"Léandre Griffit"
40441,"Michael Lennart Svensson"
40442,"James Beattie"
40443,"Neill McCann"
40444,"Fitz Hall"
40445,"Danny Higginbotham"
40881,"Enrique Pérez Muñoz"
40890,"Iván Villar Martínez"
41083,"Rodrigo Sánchez Rodriguez"
41107,"Sabit Abdulai"
41116,"Jacobo González Rodrigañez"
41125,"Abdallahi Mohamed Mahmoud"
41202,"Giorgi Kochorashvili"
42282,"Paul Edgar Akouokou"
43728,"Óscar Mingueza García"
45969,"Keith Gillespie"
47226,"Jon Morcillo Conesa"
47375,"Robert Navarro Muñoz"
47447,"Gabriel Veiga Novas"
50494,"Yeremi Jesús Pino Santos"
71519,"Juan Antonio Iglesias Sánchez"
75546,"Carlos Domínguez Cáceres"
79498,"Amankwaa Akurugu"
105762,"José Antonio Miranda Boacho"
117025,"Hugo Sotelo"
129558,"Tony Hibbert"
364784,"Mark Kinsella"
375066,"Lee Carsley"
375067,"Francis Jeffers"
375068,"Kevin Campbell"
375070,"Kevin Kilbane"
375886,"Craig Hignett"
375887,"Riccardo Scimeca"
375888,"Andy Impey"
375889,"Ben Thatcher"
375890,"Callum Davidson"
376516,"Richard Hughes"
376517,"John Curtis"
376518,"Trésor Lomana LuaLua"
376521,"David Bentley"
377674,"Graeme Le Saux"
377676,"Stephen Crainey"
